ID,Nombre,Nivel,Autor,Categoría,Observaciones,Link,Activo,Orden,Tags,GoalKeys
guitarra-042,Acordes y mayores,,,,,https://drive.google.com/file/d/0Bx_W9MfqPgE5VTdvQjVXVk5CdEt3SnBGajVMU3V4VlRib0w4/view?resourcekey=0-VRiIZo3AUSfmALPxVN_p6g,Sí,,,
guitarra-043,Círculo de quintas Mayores,,,,,https://musicalaescuela.github.io/circulodequintasmayores/,Sí,,,
guitarra-044,Círculo de quintas Menores,,,,,https://drive.google.com/file/d/1OOCcg8QhzjLZGN7u2vWO9PnEroU0xT-C/view,Sí,,,
guitarra-045,Acordes de séptima de dominante,,,,,https://drive.google.com/file/d/1Fx6utcXaCViVszjr7n4NWtDA9_Mb0inz/view,Sí,,,
guitarra-046,Construcción de tríadas,,,,,https://docs.google.com/document/d/1iBYK454j75NQosdcGoc4pOJnH5YmcBC__XrkdEqb3oc/edit?tab=t.0,Sí,,,
guitarra-047,Tríadas en Guitarra,,,,,https://classroom.google.com/w/NjI5MzYwMjg0MzVa/t/all,Sí,,,
guitarra-048,Tabla de tríadas,,,,,https://docs.google.com/spreadsheets/d/18NdIaqRpEtEC2qIROtXvO_Dxf4mWaf_7UwpLrS7xiZw/edit?gid=0#gid=0,Sí,,,
guitarra-049,Tríadas Tapping,,,,,https://classroom.google.com/w/NjI5MzYwMjg0MzVa/t/all,Sí,,,
guitarra-050,Ejercicios para Tapping e Independencia,,,,,https://drive.google.com/file/d/13hiwkq1brAF2zDdzBad8m34rFhZZ1_dF/view,Sí,,,
guitarra-051,Beginning Jazz Guitar Vol. 1,,,,,https://drive.google.com/file/d/1oE2X-qemtYRvwSxlJgnItfPvkE04hvKU/view,Sí,,,
guitarra-052,Guitar Lessons - Yngwie Malmsteen,,,,,https://drive.google.com/file/u/0/d/1ofKFIOM3Qz66aYy5gC1F2xxv6NhG5vvx/view?usp=classroom_web,Sí,,,
guitarra-053,Escalas mayores (notación numérica),,,,,https://docs.google.com/document/d/1h_qZ6IM-VxUL5LJf-52VoEKKnuonRVWiYeH9mSEn19c/edit?tab=t.0,Sí,,,
guitarra-054,Escalas menores (notación numérica),,,,,https://docs.google.com/document/d/1dSDDbE4_EZFv_b8HhqvZ2XkxbzfGdxfzkyu7LftUtXg/edit?tab=t.0,Sí,,,
guitarra-055,Escalas Mayores 1ra posición (tab),,,,,https://drive.google.com/file/d/1tak-lfymTON2f8dLwOfeGDMBKsAF6jYQ/view,Sí,,,
guitarra-056,Escalas Mayores 2da posición (tab),,,,,https://drive.google.com/file/d/1Q7qFFRxxrnhk8B6-cHHRQkZo8rP9lCfX/view,Sí,,,
guitarra-057,Variaciones de la Escala de Do en 1ra posición,,,,,https://classroom.google.com/w/NjI5MzYwMjg0MzVa/t/all,Sí,,,
guitarra-058,Mapa de la Escala de Do mayor en 1ra posición,,,,,https://drive.google.com/file/d/1h_7l_B5sqOHhZ21lnUciQO48PFvOgSfy/view,Sí,,,
guitarra-059,Escalas Pentatónicas,,,,,https://drive.google.com/file/d/1gaRnyTnAY88ZJgSF9EKeTQUHdn1Y8Uvz/view,Sí,,,
guitarra-060,Notas sin alteraciones en la guitarra,,,,,https://classroom.google.com/w/NjI5MzYwMjg0MzVa/t/all,Sí,,,
guitarra-061,Acompañamientos iniciales,,,,,https://drive.google.com/file/d/1-qSlWyNk2rhKiJ5i5VcBCaMBzRA_f-aF/view,Sí,,,
guitarra-062,Acompañamientos y progresiones,,,,,https://alekcaballero20.github.io/acompa-amientosyprogresiones_guitarra/,Sí,,,
guitarra-063,Guitarra Iniciación Fabermana,,,,,https://drive.google.com/file/d/1CkG0XvXhsJS6Kpealz8xI9sqhSOpw_IH/view,Sí,,,
guitarra-064,Método de Guitarra Heavy Metal Cherry Lane,,,,,https://drive.google.com/file/d/13ADWhC1nakL0Y2p6ZorD50vo0q6MNahs/view,Sí,,,
guitarra-065,Essential blues,,,,,https://drive.google.com/file/d/0Bx_W9MfqPgE5UFZNY29DVHlpY0U/view?resourcekey=0-LpA6xw0LB2tgth5f55oBmA,Sí,,,
guitarra-066,Estructura de blues 12 bar,,,,,https://drive.google.com/file/d/1OTHbz5-6I0GnkSzTBFKP27W1yCzueGT9/view,Sí,,,
guitarra-067,Estudios de blues y jazz,,,,,https://drive.google.com/file/d/1uJiALBNBS_od4QUC1f5neLoJsonk506r/view,Sí,,,
guitarra-068,Guitarra Colombiana,,,,,https://drive.google.com/file/d/193t65wdK6TB3s5c3KByyjBD0gapHMh1Q/view,Sí,,,
guitarra-069,Jazz funk guitar,,,,,https://drive.google.com/file/d/1EM704qPHkvtQK180lcbMxO6XJNuqhAj8/view,Sí,,,
guitarra-070,Funk guitar The essential guide,,,,,https://drive.google.com/file/d/1f_2WcgLN-ZCzOUEmJwKKpu5vaGMMVe7N/view?authuser=0&usp=classroom_web,Sí,,,
guitarra-071,Essential elements Guitar,,,,,https://drive.google.com/file/d/1wKQ4j-aKtVdRDd1oN6Pg1veHKJiUdmi7/view,Sí,,,
guitarra-072,Tocamos la guitarra,,,,,https://drive.google.com/file/d/1gxfZ7uakdUMILdm3rdOycr8sfsgOfG_h/view,Sí,,,
guitarra-073,Classical Guitar Method,,Bradford Werner,,,https://drive.google.com/file/d/1AKXIJBT2yIa07Te38nBXcY_kPUGHMdNI/view,Sí,,,
guitarra-074,Suzuki I,,,,,https://drive.google.com/file/d/0Bx_W9MfqPgE5Q0VLUXp0TVBvN00/view?resourcekey=0-i73krM1I6L1PHpcm0Rtlfw,Sí,,,
guitarra-075,Suzuki II,,,,,https://drive.google.com/file/d/12CBGPD4m-1hMOqr2QMnCXgffzXyRbgjV/view,Sí,,,
guitarra-076,Suzuki III,,,,,https://drive.google.com/file/d/1HNVwGcKXZqzxdODEBNziexdXxAJnYL45/view,Sí,,,
guitarra-077,Escuela razonada de la guitarra Vol. 1,,Emilio Pujol,,,https://drive.google.com/file/d/17B-40jYgx9HW84jA4j6kWvweOedBdvUn/view,Sí,,,
guitarra-078,Escuela razonada de la guitarra Vol. 2,,Emilio Pujol,,,https://drive.google.com/file/d/1Tz_7xVg64FDzyYeumMXn0DuRUyiwCd1-/view,Sí,,,
guitarra-079,Escuela razonada de la guitarra Vol. 3,,Emilio Pujol,,,https://drive.google.com/file/d/1GYtpDrr5Offi0yp7cWwwPQvRzmr_JIFp/view,Sí,,,
guitarra-080,Escuela razonada de la guitarra Vol. 4,,Emilio Pujol,,,https://drive.google.com/file/d/17b0dDeonx7E-HoCnZf_g1EhwfH3GM3qr/view,Sí,,,
guitarra-081,101 licks para guitarra,★★★★★,Sebastian Salinas,Técnico,"Improvisación, Canciones, Repertorio, Rock",https://drive.google.com/file/d/1fBx1tqrN5k7nM8aKTQ4NnI8saqN2y3QW/view,Sí,5,,
guitarra-082,The real book I,,,,,https://drive.google.com/file/d/0B8RO0Y12SJDeWEdhNkZJQ2t5Unc/view?resourcekey=0-QqQ47yzOxWaGdeTCM2D_tg,Sí,,,
guitarra-083,Guitar etudes,,Pat Metheny,,,https://drive.google.com/file/d/1sxMCCbsva9qTO75rrx6kjjvaOFwDGXoM/view,Sí,,,
guitarra-084,12 studies,,Francisco Tarrega,,,https://drive.google.com/file/d/1zdaRHJyfub7xfx4gv7wZMJu04DoGJnS6/view,Sí,,,
guitarra-085,Juego de líneas,,,,,https://alekcaballero20.github.io/juego-de-lineas/,Sí,,,
guitarra-086,Juego de líneas y espacios,,,,,https://musicalaescuela.github.io/juego_lineasyespacios/,Sí,,,
guitarra-087,Musi Recolector de notas,,,,,https://musicalaescuela.github.io/juegorecolectordenotas/,Sí,,,
guitarra-088,Mano de lectura de líneas,,,,,https://drive.google.com/file/d/1SRGZOXL56X_5Lt4U7yn8rU_Ba_r5Y4tF/view,Sí,,,
guitarra-089,Guía de lectura de líneas,,,,,https://drive.google.com/file/d/1a2X01V0S24d8vhkjM2IXev_mErd_dCYR/view,Sí,,,
guitarra-090,Guía de lectura Francesa,,,,,https://drive.google.com/file/d/0Bx_W9MfqPgE5NGU3WUdjVkZaVXhTNS1XM0dHXzRabTJJaW1v/view?resourcekey=0-qBZkU2FLAQAdYAv3KlWfdQ,Sí,,,
guitarra-091,Guía de lectura de espacios,,,,,https://drive.google.com/file/d/1-b8AZrqqaQ8ZsDGAzDIJrp_stEYT-y9O/view,Sí,,,
guitarra-092,Guía de lectura de líneas y espacios,,,,,https://drive.google.com/file/d/1D5ij_FIZN2YgmZaKR4f6MRVCbZSQNug3/view,Sí,,,
guitarra-093,www.teoria.com,,,,,https://www.teoria.com/es/ejercicios/,Sí,,,
guitarra-094,Kalmykov,,,,,https://drive.google.com/file/d/15DQWvA-JjazqOeOyxtbTeuhAw5yN244o/view,Sí,,,
guitarra-095,Berkowitz,,,,,https://drive.google.com/file/d/1U3U-ZEgxoD2y1ShvgiNdKXsllmYnSNms/view,Sí,,,
guitarra-096,Explicación del ritmo,,,,,https://musicalaescuela.github.io/explicacionteoricaderitmo/,Sí,,,
guitarra-097,Ejercicios con figuras rítmicas,,,,,https://musicalaescuela.github.io/ejerciciosritmicos/,Sí,,,
guitarra-098,Dibujo rítmico,,Tita Maya,,,https://drive.google.com/file/d/12jPnBIMuLhG5mBDWQkY1wNBLx8cIiP72/view,Sí,,,
guitarra-099,Figuras rítmicas,,,,,https://drive.google.com/file/d/12Fa3HRfYNUZVh_m_9IipSC6HRKmiY3yX/view,Sí,,,
guitarra-100,Ejercicios de iniciación al ritmo,,,,,https://drive.google.com/file/d/1AiCXl1OqesJCXCad2np8OgRPBO3p20ln/view,Sí,,,
guitarra-101,Motivos rítmicos,,,,,https://drive.google.com/file/d/0Bx_W9MfqPgE5WEVuVWRaTHNxeGs/view?resourcekey=0-aAYgbiKKftfwjbchfWCpYA,Sí,,,
guitarra-102,Studying rythm,,,,,https://drive.google.com/file/d/0Bx_W9MfqPgE5eG90NG8wanFCMFU/view?resourcekey=0-wkqdL9o6ZK4uc0f6u-rwvg,Sí,,,
